Player Name - Slate Type,Contest IDs,Player ID,Draftable ID,Player Name,First Name,Last Name,Salary,Position,Team,Game,Game Start Time,Player Image,Tournament,Slate Type,Game Type,Date,Role,Contest Names,Contest IDs (Full),Slate Header,Make the Cut
Scottie Scheffler - Late Showdown (Flex),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,1496,43976583,Scottie Scheffler,Scottie,Scheffler,11400,G,Golf,TOUR Championship,08/29/2026 01:13 PM,https://dkn.gs/sports/images/golf/players/50/607.png,TOUR Championship,Late Showdown,PGA,8/29,Flex,PGA TOUR Showdown $100K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $75K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $12K Drive the Green [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $500 Drive the Green (Late Round 3 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $6.2K Putter [Single Entry] (Late Round 3 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $3K Pitch + Putt [$1K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $267 Winner Take All [$1K to 1st] (Late Round 3 TOUR),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,8/29 1:13PM (TOUR Championship),
Ryan Gerard - Late Showdown (Captain),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,765444,43976608,Ryan Gerard,Ryan,Gerard,11400,CPT,Golf,TOUR Championship,08/29/2026 01:13 PM,https://dkn.gs/sports/images/golf/players/50/645035.png,TOUR Championship,Late Showdown,PGA,8/29,Captain,PGA TOUR Showdown $100K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $75K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $12K Drive the Green [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $500 Drive the Green (Late Round 3 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $6.2K Putter [Single Entry] (Late Round 3 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $3K Pitch + Putt [$1K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $267 Winner Take All [$1K to 1st] (Late Round 3 TOUR),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,8/29 1:13PM (TOUR Championship),
Rory McIlroy - Classic,194652691;194651699;194661313;194654086;194652465;194612010;194612004;194655988;194656590;194658911,463,43970667,Rory McIlroy,Rory,McIlroy,11100,G,Golf,TOUR Championship,08/29/2026 11:55 AM,https://dkn.gs/sports/images/golf/players/50/1080.png,TOUR Championship,Classic,PGA,8/29,Standard,"Weekend PGA TOUR $540 Long Drive [Single Entry, Top 2 Win];Weekend PGA TOUR $400 Drive the Green;Weekend PGA TOUR $255 Flop Shot;Weekend PGA TOUR $150 Caddie [Single Entry];Weekend PGA TOUR $200 Short Game;Weekend PGA TOUR Satellite to NHL 9-29 $15 Opening Night Puck Drop;Weekend PGA TOUR 10x Booster [Top 3 Win $20];Weekend PGA TOUR FREE 200-Player;Weekend PGA TOUR FREE 25-Player;Weekend PGA TOUR FREE 20-Player",194652691;194651699;194661313;194654086;194652465;194612010;194612004;194655988;194656590;194658911,8/29 11:55AM (TOUR Championship),
Rory McIlroy - Showdown,194606975;194666202;194666747;194611520;194655299;194667089;194612119;194612121;194612120;194612122;194667957;194666249;194667249;194612112;194612111;194612110;194612109;194612095;194612094;194656783,463,43970551,Rory McIlroy,Rory,McIlroy,11000,G,Golf,TOUR Championship,08/29/2026 11:55 AM,https://dkn.gs/sports/images/golf/players/50/1080.png,TOUR Championship,Showdown,PGA,8/29,Standard,PGA TOUR Showdown $30K Pro Shop [$15K to 1st] (Round 3 TOUR);PGA TOUR Showdown $3K Signature Hole (Round 3 TOUR);PGA TOUR Showdown $500 Pitch + Putt (Round 3 TOUR);LAST SHOT: PGA TOUR Showdown Satellite to MLB 9-1 $4M Ultimate Main Event (Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Round 3 TOUR);PGA TOUR Showdown $500 Bunker [Single Entry] (Round 3 TOUR);PGA TOUR Showdown Satellite to NHL 11-3 $555 Barn Burner (Round 3 TOUR);PGA TOUR Showdown Satellite to NHL 10-13 $360 Spin-O-Rama (Round 3 TOUR);PGA TOUR Showdown Satellite to NHL 10-13 $360 Spin-O-Rama (Round 3 TOUR);PGA TOUR Showdown Satellite to NHL 10-13 $360 Spin-O-Rama (Round 3 TOUR),194606975;194666202;194666747;194611520;194655299;194667089;194612119;194612121;194612120;194612122;194667957;194666249;194667249;194612112;194612111;194612110;194612109;194612095;194612094;194656783,8/29 11:55AM (TOUR Championship),
Russell Henley - Late Showdown (Captain),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,1654,43976609,Russell Henley,Russell,Henley,10800,CPT,Golf,TOUR Championship,08/29/2026 01:13 PM,https://dkn.gs/sports/images/golf/players/50/628.png,TOUR Championship,Late Showdown,PGA,8/29,Captain,PGA TOUR Showdown $100K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $75K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $12K Drive the Green [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $500 Drive the Green (Late Round 3 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $6.2K Putter [Single Entry] (Late Round 3 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $3K Pitch + Putt [$1K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $267 Winner Take All [$1K to 1st] (Late Round 3 TOUR),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,8/29 1:13PM (TOUR Championship),
Viktor Hovland - Showdown,194667843;194667839;194667844;194667849;194667838;194667841;194667852;194667840;194668322;194668325;194667862;194667859;194667860;194667861;194667858;194668164;194668337;194668332;194667850;194667853,690049,43977334,Viktor Hovland,Viktor,Hovland,10700,G,Golf,TOUR Championship,08/30/2026 06:00 AM,https://dkn.gs/sports/images/golf/players/50/669.png,TOUR Championship,Showdown,PGA,8/30,Standard,PGA TOUR Showdown $125K Sand Trap [$25K to 1st] (Round 4 TOUR);PGA TOUR Showdown $67K Signature Hole [$20K to 1st] (Round 4 TOUR);PGA TOUR Showdown $40K Drive the Green (Round 4 TOUR);PGA TOUR Showdown $40K Par 4 [4 Entry Max] (Round 4 TOUR);PGA TOUR Showdown $40K Pro Shop [$20K to 1st] (Round 4 TOUR);PGA TOUR Showdown $10K Up-And-Down [$2K to 1st] (Round 4 TOUR);PGA TOUR Showdown $20K Long Drive [Single Entry] (Round 4 TOUR);PGA TOUR Showdown $4K Long Drive [Single Entry] (Round 4 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Round 4 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Round 4 TOUR),194667843;194667839;194667844;194667849;194667838;194667841;194667852;194667840;194668322;194668325;194667862;194667859;194667860;194667861;194667858;194668164;194668337;194668332;194667850;194667853,8/30 6:00AM (TOUR Championship),
Ryan Gerard - Showdown,194667843;194667839;194667844;194667849;194667838;194667841;194667852;194667840;194668322;194668325;194667862;194667859;194667860;194667861;194667858;194668164;194668337;194668332;194667850;194667853,765444,43977335,Ryan Gerard,Ryan,Gerard,10400,G,Golf,TOUR Championship,08/30/2026 06:00 AM,https://dkn.gs/sports/images/golf/players/50/645035.png,TOUR Championship,Showdown,PGA,8/30,Standard,PGA TOUR Showdown $125K Sand Trap [$25K to 1st] (Round 4 TOUR);PGA TOUR Showdown $67K Signature Hole [$20K to 1st] (Round 4 TOUR);PGA TOUR Showdown $40K Drive the Green (Round 4 TOUR);PGA TOUR Showdown $40K Par 4 [4 Entry Max] (Round 4 TOUR);PGA TOUR Showdown $40K Pro Shop [$20K to 1st] (Round 4 TOUR);PGA TOUR Showdown $10K Up-And-Down [$2K to 1st] (Round 4 TOUR);PGA TOUR Showdown $20K Long Drive [Single Entry] (Round 4 TOUR);PGA TOUR Showdown $4K Long Drive [Single Entry] (Round 4 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Round 4 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Round 4 TOUR),194667843;194667839;194667844;194667849;194667838;194667841;194667852;194667840;194668322;194668325;194667862;194667859;194667860;194667861;194667858;194668164;194668337;194668332;194667850;194667853,8/30 6:00AM (TOUR Championship),
Collin Morikawa - Late Showdown (Flex),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,300102,43976584,Collin Morikawa,Collin,Morikawa,10400,G,Golf,TOUR Championship,08/29/2026 01:13 PM,https://dkn.gs/sports/images/golf/players/50/789.png,TOUR Championship,Late Showdown,PGA,8/29,Flex,PGA TOUR Showdown $100K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $75K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $12K Drive the Green [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $500 Drive the Green (Late Round 3 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $6.2K Putter [Single Entry] (Late Round 3 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $3K Pitch + Putt [$1K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $267 Winner Take All [$1K to 1st] (Late Round 3 TOUR),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,8/29 1:13PM (TOUR Championship),
Sam Burns - Late Showdown (Captain),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,1154,43976610,Sam Burns,Sam,Burns,10200,CPT,Golf,TOUR Championship,08/29/2026 01:13 PM,https://dkn.gs/sports/images/golf/players/50/582.png,TOUR Championship,Late Showdown,PGA,8/29,Captain,PGA TOUR Showdown $100K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $75K Heavy Hitter [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $12K Drive the Green [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $500 Drive the Green (Late Round 3 TOUR);PGA TOUR Showdown $50K Nosebleed Section [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $6.2K Putter [Single Entry] (Late Round 3 TOUR);PGA TOUR Showdown $20K Thunderdome [Must Fill] (Late Round 3 TOUR);PGA TOUR Showdown $3K Pitch + Putt [$1K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $555 Winner Take All [$2K to 1st] (Late Round 3 TOUR);PGA TOUR Showdown $267 Winner Take All [$1K to 1st] (Late Round 3 TOUR),194633047;194633048;194612456;194667407;194633051;194612449;194633054;194661691;194632820;194632814;194666187;194664966;194651545;194633050;194659671;194666186;194612462;194633066;194633061;194633058,8/29 1:13PM (TOUR Championship),
Xander Schauffele - Classic,194652691;194651699;194661313;194654086;194652465;194612010;194612004;194655988;194656590;194658911,902,43970668,Xander Schauffele,Xander,Schauffele,10000,G,Golf,TOUR Championship,08/29/2026 11:55 AM,https://dkn.gs/sports/images/golf/players/50/722.png,TOUR Championship,Classic,PGA,8/29,Standard,"Weekend PGA TOUR $540 Long Drive [Single Entry, Top 2 Win];Weekend PGA TOUR $400 Drive the Green;Weekend PGA TOUR $255 Flop Shot;Weekend PGA TOUR $150 Caddie [Single Entry];Weekend PGA TOUR $200 Short Game;Weekend PGA TOUR Satellite to NHL 9-29 $15 Opening Night Puck Drop;Weekend PGA TOUR 10x Booster [Top 3 Win $20];Weekend PGA TOUR FREE 200-Player;Weekend PGA TOUR FREE 25-Player;Weekend PGA TOUR FREE 20-Player",194652691;194651699;194661313;194654086;194652465;194612010;194612004;194655988;194656590;194658911,8/29 11:55AM (TOUR Championship),
